playername,playerid,team,1920salary,2021salary,2122salary,2223salary,2324salary,2425salary,signedusing,guaranteed
Luke Kornet,kornelu01,CHI,"$2,195,122 ","$2,304,878 ",,,,,Room Exception,"$4,500,000 "
Ty Jerome,jeromty01,PHO,"$2,193,480 ","$2,303,040 ","$2,412,840 ","$4,220,057 ",,,1st Round Pick,"$4,496,520 "
Willie Cauley-Stein,caulewi01,DAL,"$2,177,483 ","$2,286,357 ",,,,,MLE,"$2,177,483 "
Austin Rivers,riverau01,HOU,"$2,174,318 ","$2,369,663 ",,,,,Minimum Salary,"$2,174,318 "
Carmelo Anthony,anthoca01,POR,"$2,159,029 ",,,,,,Minimum Salary,"$2,159,029 "
Anfernee Simons,simonan01,POR,"$2,149,560 ","$2,252,040 ","$3,938,818 ",,,,1st Round Pick,"$4,401,600 "
Matt Barnes,barnema02,SAC,"$2,133,541 ",,,,,,,"$2,133,541 "
Nassir Little,littlna01,POR,"$2,105,520 ","$2,210,640 ","$2,316,240 ","$4,171,548 ",,,1st Round Pick,"$4,316,160 "
Torrey Craig,craigto01,DEN,"$2,100,000 ",,,,,,Cap Space,"$2,100,000 "
Moritz Wagner,wagnemo01,WAS,"$2,063,520 ","$2,161,920 ","$3,893,618 ",,,,1st Round Pick,"$4,225,440 "
Dylan Windler,windldy01,CLE,"$2,035,800 ","$2,137,440 ","$2,239,200 ","$4,037,278 ",,,1st Round Pick,"$4,173,240 "
Caleb Swanigan,swanica01,POR,"$2,033,160 ",,,,,,1st Round Pick,"$2,033,160 "
Trey Burke,burketr01,PHI,"$2,028,594 ",,,,,,,"$2,028,594 "
Kyle O'Quinn,oquinky01,PHI,"$2,028,594 ",,,,,,Minimum Salary,"$2,028,594 "
Michael Carter-Williams,cartemi01,ORL,"$2,028,594 ",,,,,,Minimum Salary,"$2,028,594 "
Mike Muscala,muscami01,OKC,"$2,028,594 ","$2,283,034 ",,,,,Minimum Salary,"$2,028,594 "
Nerlens Noel,noelne01,OKC,"$2,028,594 ",,,,,,Minimum Salary,"$2,028,594 "
Troy Daniels,danietr01,LAL,"$2,028,594 ",,,,,,,"$2,028,594 "
Ben McLemore,mclembe01,HOU,"$2,028,594 ","$2,283,034 ",,,,,Minimum Salary,"$2,028,594 "
Spencer Hawes,hawessp01,MIL,"$2,007,058 ",,,,,,,"$2,007,058 "
