playername,playerid,team,salary1920,salary2021,salary2122,salary2223,salary2324,salary2425,signedusing,guaranteed
Al-Farouq Aminu,aminual01,ORL,9258000,9720900,10183800,,,,MLE,29162700
George Hill,hillge01,MIL,9133907,9590602,10047297,,,,Cap Space,21000000
Kyle Anderson,anderky01,MEM,9073050,9505100,9937150,,,,MLE,28515300
Fred VanVleet,vanvlfr01,TOR,9000000,,,,,,Bird Rights,9000000
Ja Morant,moranja01,MEM,8730240,9166800,9603360,12119440,,,1st Round Pick,17897040
C.J. Miles,milescj01,WAS,8730158,,,,,,,8730158
Lonzo Ball,balllo01,NOP,8719320,11003782,,,,,1st Round Pick,19723102
E'Twaun Moore,mooreet01,NOP,8664928,,,,,,Cap Space,8664928
Marvin Bagley,baglema01,SAC,8556120,8963640,11312114,,,,1st Round Pick,17519760
Bogdan Bogdanović,bogdabo01,SAC,8529386,,,,,,Cap space,8529386
Tyus Jones,jonesty01,MEM,8408000,7965100,7522200,,,,MLE,23895300
P.J. Tucker,tuckepj01,HOU,8349039,7969537,,,,,MLE,16318576
Cristiano Felício,feliccr01,CHI,8156500,7529020,,,,,Cap space,15685520
Ben Simmons,simmobe01,PHI,8113930,29250000,31590000,33930000,36270000,38610000,1st Round pick,177763930
Kentavious Caldwell-Pope,caldwke01,LAL,8089282,8493746,,,,,Cap Space,8089282
Maxi Kleber,klebima01,DAL,8000000,8250000,8750000,9000000,,,Early Bird Rights,25000000
Lou Williams,willilo02,LAC,8000000,8000000,,,,,Cap Space,16000000
Elfrid Payton,paytoel01,NYK,8000000,8000000,,,,,Cap Space,9000000
Thomas Bryant,bryanth01,WAS,7936508,8333333,8730159,,,,Early Bird Rights,25000000
RJ Barrett,barrerj01,NYK,7839960,8231760,8623920,10900635,,,1st Round Pick,16071720
Jayson Tatum,tatumja01,BOS,7830000,9897120,,,,,1st Round Pick,17727120
Jae Crowder,crowdja01,MIA,7815533,,,,,,Bird Rights,7815533
Wayne Ellington,ellinwa01,NYK,7804878,8195122,,,,,Cap Space,7804878
Luka Dončić,doncilu01,DAL,7683360,8049360,10174391,,,,1st Round Pick,15732720
Joe Harris,harrijo01,BRK,7670000,,,,,,Early Bird Rights,7670000
Seth Curry,curryse01,DAL,7441860,7813953,8186047,8558140,,,MLE,32000000
Doug McDermott,mcderdo01,IND,7333334,7333333,,,,,Cap Space,14666667
Langston Galloway,gallola01,DET,7333333,,,,,,MLE,7333333
Derrick Rose,rosede01,DET,7317073,7682927,,,,,MLE,15000000
Brandon Ingram,ingrabr01,NOP,7265485,,,,,,1st Round pick,7265485
D.J. Augustin,augusdj01,ORL,7250000,,,,,,Cap Space,7250000
Darius Miller,milleda01,NOP,7250000,7000000,,,,,Early Bird Rights,7250000
De'Andre Hunter,huntede01,ATL,7068360,7422000,7775400,9835881,,,1st Round Pick,14490360
